970684-1,Wheels (Tires hubs axle plates and bricks),2002,524,184
9780241273333-1,City: Volcano Adventure,2016,497,14
KT204-1,Large Train Engine with Tender Green,2001,238,0
3538-1,Snowboard Boarder Cross Race,2003,460,197
3733-1,Gray Windows with Clear Panes,2000,254,20
4000024-1,LEGO House Tree of Creativity,2017,408,0
4577-1,Snake,2001,125,7
5023-1,Fences,1998,443,4
6071-1,Forestmen's Crossing,1990,194,210
6889-1,Recon Robot,1994,142,136
806-2,Cowboy & Pony,1964,365,87
836-1,Doors and Windows Parts Pack,1980,473,37
10234-1,Sydney Opera House,2013,276,2989
10699-1,Sand Baseplate,2015,621,1
1309-1,Church,1957,372,150
1356-1,Stuntman Catapult,2001,273,29
1954-2,Basic Set with Storage Case,1984,469,141
2224-1,Tubular Chest,1998,505,118
30324-3,My Town: Girl,2017,636,3
45010-1,Community People Set,2015,516,21
4588-1,Off Road Race Track,2002,121,363
6240-1,Kraken Attackin',2009,153,78
6329-1,Truck Stop,1998,103,144
66522-1,City Super Pack 4 in 1,2015,52,0
70130-1,Sparratus' Spider Stalker,2014,571,291
71011-0,LEGO Minifigures - Series 15 {Random bag},2016,554,0
71022-19,Jacob Kowalski,2018,656,9
722-1,Universal Building Set,1980,469,302
8008-1,Stormtrooper,2001,158,360
852981-1,Dobby Key Chain,2010,503,0
8823-1,Mistlands Tower,2006,198,437
8899-1,Gator Swamp,2010,123,354
1635-1,Fire Dispatch,1991,632,17
2063-1,Stormer 2.0,2011,401,31
394-1,Harley-Davidson 1000cc,1976,404,142
40267-1,Find A Pair Pack,2017,504,20
41040-2,"Advent Calendar 2014, Friends (Day 1) - Mia",2014,226,4
4212-1,Starter Set 200,1998,470,95
5004938-1,Collectible Minifigures - Ninjago,2017,535,29
5807-1,The Royal Stable,1999,319,69
60107-1,Fire Ladder Truck,2016,58,214
6323-1,Cross Road Plates,1997,102,2
70629-1,Piranha Attack,2018,616,218
7958-14,Advent Calendar 2011 Star Wars (Day 13) - R2-Q5,2011,225,4
7994-1,LEGO City Harbor,2007,59,661
8017-1,Darth Vader's TIE Fighter,2009,169,256
8156-1,Ferrari FXX 1:17,2008,114,626
8504-1,Jet / Judge Slizer,1999,20,44
8909-18,Team GB Minifigures - Sealed Box,2012,546,60
